letter,count
А,1286
Б,1754
В,549
Г,199
Д,799
Е,105
Ж,423
З,664
И,367
К,2199
Л,732
М,1350
Н,495
О,834
П,1199
Р,607
С,399
Т,799
У,280
Ф,200
Х,296
Ц,240
Ч,727
Ш,289
Щ,160
Э,234
Ю,147
Я,222
